x;float; double; ulamek
0;1,02501E-05;4,30E-14;5,7E-14
0;3,90723E-06;1,40E-14;0
0;8,76302E-06;2,80E-14;5,7E-14
1;4,06031E-05;0;5,7E-14
1;8,86804E-05;1,40E-14;2,27E-13
1;3,00194E-05;1,40E-14;5,7E-14
1;4,99642E-05;2,80E-14;1,14E-13
1;1,89961E-05;7,00E-15;0
1;2,30239E-05;7,00E-15;0
1;3,89171E-05;7,00E-15;1,14E-13
1;4,38321E-05;0;0
1;6,27349E-05;1,40E-14;0
1;2,58026E-05;0;0
1;5,39366E-05;1,40E-14;0
1;6,19679E-05;0;1,14E-13
1;1,49443E-05;2,80E-14;5,7E-14
2;1,69403E-05;7,00E-15;2,8E-14
2;3,71E-05;1,40E-14;0
2;1,2209E-06;7,00E-15;0
2;1,89512E-05;0;0
2;8,27089E-06;4,30E-14;0
2;6,03763E-06;1,40E-14;2,8E-14
2;1,29725E-05;7,00E-15;0
2;3,16642E-05;0;5,7E-14
2;5,39038E-06;0;2,8E-14
2;5,93805E-06;0;0
2;9,66719E-06;1,40E-14;2,8E-14
2;3,85328E-06;1,40E-14;5,7E-14
2;2,20807E-05;1,40E-14;0
3;5,4372E-06;0;0
3;7,35479E-05;7,00E-15;1,14E-13
3;1,80401E-05;1,40E-14;1,14E-13
3;3,61965E-05;2,80E-14;1,14E-13
3;1,55495E-05;0;5,7E-14
3;5,3329E-05;1,40E-14;1,14E-13
3;5,50929E-05;1,40E-14;0
3;1,4362E-05;7,00E-15;0
3;1,12112E-05;0;0
3;3,69234E-05;7,00E-15;5,7E-14
3;6,36911E-07;2,10E-14;5,7E-14
3;7,55752E-05;1,40E-14;2,27E-13
3;2,6296E-05;1,40E-14;0
4;1,55825E-05;1,40E-14;0
4;2,73277E-06;1,40E-14;1,14E-13
4;4,20388E-05;1,40E-14;0
4;8,62722E-05;0;0
4;1,48348E-05;1,40E-14;0
4;1,5676E-05;0;1,14E-13
4;1,19196E-06;2,80E-14;0
4;1,20938E-05;2,80E-14;0
4;1,03943E-05;0;0
4;7,22734E-06;1,40E-14;5,7E-14
4;2,31254E-06;0;0
4;2,46478E-06;1,40E-14;1,14E-13
4;1,81829E-05;1,40E-14;5,7E-14
5;1,39857E-06;7,00E-15;0
5;4,55815E-05;2,80E-14;2,27E-13
5;1,87796E-06;0;1,14E-13
5;5,16841E-05;2,80E-14;0
